#Enter the name/path to the input graph file: c 9th DIMACS Implementation Challenge: Shortest Paths
#c http://www.dis.uniroma1.it/~challenge9
#c TIGER/Line graph USA-road-d.USA
#c
#p sp 23947347 58333344
#c graph contains 23947347 nodes and 58333344 arcs
#c
0	1	2025
1	0	2025
1	2097154	656
2	2097152	144
3	1048578	2329
4	2097153	4327
5	1048579	2487
6	1048580	8
6	7	878
6	1048582	1513
7	6	878
8	1048581	16287
9	2097155	4739
9	10	2803
10	9	2803
1048576	1048577	414
1048577	1048576	414
1048578	3	2329
1048579	5	2487
1048579	1048581	13948
1048580	6	8
1048581	1048579	13948
1048581	8	16287
1048582	6	1513
1048583	1048584	409
1048584	1048583	409
2097152	2	144
2097153	4	4327
2097154	1	656
2097155	9	4739
